CD4_memory_primary_cells 	 smRNA-Seq 	 GSM669584
CD4_mobilized_primary_cells 	 ChIP-Seq_input 	 GSM621413
CD4_mobilized_primary_cells 	 DNase_hypersensitivity 	 GSM817166
CD4_mobilized_primary_cells 	 DNase_hypersensitivity 	 GSM701491
CD4_mobilized_primary_cells 	 DNase_hypersensitivity 	 GSM701489
CD4_naive_primary_cells 	 ChIP-Seq_input 	 GSM772916
CD4_naive_primary_cells 	 ChIP-Seq_input 	 GSM772876
CD4_naive_primary_cells 	 H3K27ac 	 GSM772835
CD4_naive_primary_cells 	 H3K27ac 	 GSM772934
CD4_naive_primary_cells 	 H3K27me3 	 GSM772919
CD4_naive_primary_cells 	 H3K27me3 	 GSM772947
CD4_naive_primary_cells 	 H3K36me3 	 GSM543035
CD4_naive_primary_cells 	 H3K36me3 	 GSM772918
CD4_naive_primary_cells 	 H3K36me3 	 GSM772932
CD4_naive_primary_cells 	 H3K4me1 	 GSM772869
CD4_naive_primary_cells 	 H3K4me1 	 GSM772860
CD4_naive_primary_cells 	 H3K4me3 	 GSM772948
CD4_naive_primary_cells 	 H3K4me3 	 GSM772836
CD4_naive_primary_cells 	 H3K9ac 	 GSM543004
CD4_naive_primary_cells 	 H3K9me3 	 GSM772875
CD4_naive_primary_cells 	 H3K9me3 	 GSM772917
CD4_naive_primary_cells 	 MRE-Seq 	 GSM613920
CD4_naive_primary_cells 	 MRE-Seq 	 GSM613901
